"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","StringIsReferenceType","","Wed Feb 18 10:20:45 UTC 2026","passed","Wed Feb 18 10:20:45 UTC 2026","","Quick Tests","QuickTests","StringIsReferenceType"
"","0","NullIsNull","","Wed Feb 18 10:20:45 UTC 2026","passed","Wed Feb 18 10:20:45 UTC 2026","","Quick Tests","QuickTests","NullIsNull"
"","0","DivisionIsCorrect","","Wed Feb 18 10:20:45 UTC 2026","passed","Wed Feb 18 10:20:45 UTC 2026","","Quick Tests","QuickTests","DivisionIsCorrect"
"","0","StringTrimRemovesWhitespace","","Wed Feb 18 10:20:45 UTC 2026","passed","Wed Feb 18 10:20:45 UTC 2026","","Quick Tests","QuickTests","StringTrimRemovesWhitespace"
"","0","MultiplicationIsCorrect","","Wed Feb 18 10:20:45 UTC 2026","passed","Wed Feb 18 10:20:45 UTC 2026","","Quick Tests","QuickTests","MultiplicationIsCorrect"
"","1","ListContainsAddedItem","","Wed Feb 18 10:20:45 UTC 2026","passed","Wed Feb 18 10:20:45 UTC 2026","","Quick Tests","QuickTests","ListContainsAddedItem"
"","2","DictionaryContainsKey","","Wed Feb 18 10:20:45 UTC 2026","passed","Wed Feb 18 10:20:45 UTC 2026","","Quick Tests","QuickTests","DictionaryContainsKey"
"","0","StringContainsSubstring","","Wed Feb 18 10:20:45 UTC 2026","passed","Wed Feb 18 10:20:45 UTC 2026","","Quick Tests","QuickTests","StringContainsSubstring"
"","0","ListCountIsCorrect","","Wed Feb 18 10:20:45 UTC 2026","passed","Wed Feb 18 10:20:45 UTC 2026","","Quick Tests","QuickTests","ListCountIsCorrect"
"","0","AdditionIsCorrect","","Wed Feb 18 10:20:45 UTC 2026","passed","Wed Feb 18 10:20:45 UTC 2026","","Quick Tests","QuickTests","AdditionIsCorrect"
"","4","EmptyStringHasZeroLength","","Wed Feb 18 10:20:45 UTC 2026","passed","Wed Feb 18 10:20:45 UTC 2026","","Quick Tests","QuickTests","EmptyStringHasZeroLength"
"Login with invalid credentials fails
","468","LoginFailure","","Wed Feb 18 10:20:46 UTC 2026","passed","Wed Feb 18 10:20:47 UTC 2026","","Login Test Suite","LoginTests","LoginFailure"
"","1","EmptyListIsEmpty","","Wed Feb 18 10:20:45 UTC 2026","passed","Wed Feb 18 10:20:45 UTC 2026","","Quick Tests","QuickTests","EmptyListIsEmpty"
"","6","IntegerIsValueType","","Wed Feb 18 10:20:45 UTC 2026","passed","Wed Feb 18 10:20:45 UTC 2026","","Quick Tests","QuickTests","IntegerIsValueType"
"","0","TrueIsTrue","","Wed Feb 18 10:20:45 UTC 2026","passed","Wed Feb 18 10:20:45 UTC 2026","","Quick Tests","QuickTests","TrueIsTrue"
"","1","StringStartsWith","","Wed Feb 18 10:20:45 UTC 2026","passed","Wed Feb 18 10:20:45 UTC 2026","","Quick Tests","QuickTests","StringStartsWith"
"","0","StringToUpperConvertsCorrectly","","Wed Feb 18 10:20:45 UTC 2026","passed","Wed Feb 18 10:20:45 UTC 2026","","Quick Tests","QuickTests","StringToUpperConvertsCorrectly"
"","0","NotFalseIsTrue","","Wed Feb 18 10:20:45 UTC 2026","passed","Wed Feb 18 10:20:45 UTC 2026","","Quick Tests","QuickTests","NotFalseIsTrue"
"","3","ArrayIsSorted","","Wed Feb 18 10:20:45 UTC 2026","passed","Wed Feb 18 10:20:45 UTC 2026","","Quick Tests","QuickTests","ArrayIsSorted"
"","13","AbsoluteValueOfNegative","","Wed Feb 18 10:20:45 UTC 2026","passed","Wed Feb 18 10:20:45 UTC 2026","","Quick Tests","QuickTests","AbsoluteValueOfNegative"
"","0","ModuloReturnsRemainder","","Wed Feb 18 10:20:45 UTC 2026","passed","Wed Feb 18 10:20:45 UTC 2026","","Quick Tests","QuickTests","ModuloReturnsRemainder"
"Login with valid credentials succeeds
","472","LoginSuccess","","Wed Feb 18 10:20:47 UTC 2026","passed","Wed Feb 18 10:20:47 UTC 2026","","Login Test Suite","LoginTests","LoginSuccess"
"Verify stored auth state allows direct access to inventory
","596","StoredStateAllowsDirectAccess","","Wed Feb 18 10:20:46 UTC 2026","passed","Wed Feb 18 10:20:46 UTC 2026","","State Storage Tests","StateStorageTests","StoredStateAllowsDirectAccess"
"Verify the Swag Labs page title
","545","HasTitle","","Wed Feb 18 10:20:46 UTC 2026","passed","Wed Feb 18 10:20:46 UTC 2026","","Login Test Suite","LoginTests","HasTitle"
