"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","RegexMatchFails","","Wed Feb 18 10:48:24 UTC 2026","failed","Wed Feb 18 10:48:24 UTC 2026","","Failing Tests","FailingTests","RegexMatchFails"
"","5","EmptyCollectionIsNotEmpty","","Wed Feb 18 10:48:24 UTC 2026","failed","Wed Feb 18 10:48:24 UTC 2026","","Failing Tests","FailingTests","EmptyCollectionIsNotEmpty"
"","3","DictionaryContainsKey","","Wed Feb 18 10:48:24 UTC 2026","passed","Wed Feb 18 10:48:24 UTC 2026","","Quick Tests","QuickTests","DictionaryContainsKey"
"","4","DivideByZeroThrowsException","","Wed Feb 18 10:48:24 UTC 2026","passed","Wed Feb 18 10:48:24 UTC 2026","","Mixed Results Tests","MixedResultsTests","DivideByZeroThrowsException"
"Login with valid credentials succeeds
","489","LoginSuccess","","Wed Feb 18 10:48:26 UTC 2026","passed","Wed Feb 18 10:48:26 UTC 2026","","Login Test Suite","LoginTests","LoginSuccess"
"","2","OutOfRangeFails","","Wed Feb 18 10:48:24 UTC 2026","failed","Wed Feb 18 10:48:24 UTC 2026","","Failing Tests","FailingTests","OutOfRangeFails"
"","1","UnsortedArrayFailsOrderCheck","","Wed Feb 18 10:48:24 UTC 2026","failed","Wed Feb 18 10:48:24 UTC 2026","","Failing Tests","FailingTests","UnsortedArrayFailsOrderCheck"
"","0","TrueIsTrue","","Wed Feb 18 10:48:24 UTC 2026","passed","Wed Feb 18 10:48:24 UTC 2026","","Quick Tests","QuickTests","TrueIsTrue"
"","1","IntegerIsValueType","","Wed Feb 18 10:48:24 UTC 2026","passed","Wed Feb 18 10:48:24 UTC 2026","","Quick Tests","QuickTests","IntegerIsValueType"
"","1","ListContainsAddedItem","","Wed Feb 18 10:48:24 UTC 2026","passed","Wed Feb 18 10:48:24 UTC 2026","","Quick Tests","QuickTests","ListContainsAddedItem"
"Login with invalid credentials fails
","472","LoginFailure","","Wed Feb 18 10:48:25 UTC 2026","passed","Wed Feb 18 10:48:26 UTC 2026","","Login Test Suite","LoginTests","LoginFailure"
"","3","EmptyStringIsNotEmpty","","Wed Feb 18 10:48:24 UTC 2026","failed","Wed Feb 18 10:48:24 UTC 2026","","Failing Tests","FailingTests","EmptyStringIsNotEmpty"
"","1","RoundingFails","","Wed Feb 18 10:48:24 UTC 2026","failed","Wed Feb 18 10:48:24 UTC 2026","","Mixed Results Tests","MixedResultsTests","RoundingFails"
"","2","NegativeSquareRootFails","","Wed Feb 18 10:48:24 UTC 2026","failed","Wed Feb 18 10:48:24 UTC 2026","","Mixed Results Tests","MixedResultsTests","NegativeSquareRootFails"
"","0","NullIsNull","","Wed Feb 18 10:48:24 UTC 2026","passed","Wed Feb 18 10:48:24 UTC 2026","","Quick Tests","QuickTests","NullIsNull"
"","1","WrongExceptionType","","Wed Feb 18 10:48:24 UTC 2026","failed","Wed Feb 18 10:48:24 UTC 2026","","Failing Tests","FailingTests","WrongExceptionType"
"","5","ContainsFails","","Wed Feb 18 10:48:24 UTC 2026","failed","Wed Feb 18 10:48:24 UTC 2026","","Failing Tests","FailingTests","ContainsFails"
"","6","ArrayIsSorted","","Wed Feb 18 10:48:24 UTC 2026","passed","Wed Feb 18 10:48:24 UTC 2026","","Quick Tests","QuickTests","ArrayIsSorted"
"","1","StringIsNotInt","","Wed Feb 18 10:48:24 UTC 2026","failed","Wed Feb 18 10:48:24 UTC 2026","","Mixed Results Tests","MixedResultsTests","StringIsNotInt"
"","1","StringTrimRemovesWhitespace","","Wed Feb 18 10:48:24 UTC 2026","passed","Wed Feb 18 10:48:24 UTC 2026","","Quick Tests","QuickTests","StringTrimRemovesWhitespace"
"","0","StringToUpperConvertsCorrectly","","Wed Feb 18 10:48:24 UTC 2026","passed","Wed Feb 18 10:48:24 UTC 2026","","Quick Tests","QuickTests","StringToUpperConvertsCorrectly"
"","1","ListCountIsCorrect","","Wed Feb 18 10:48:24 UTC 2026","passed","Wed Feb 18 10:48:24 UTC 2026","","Quick Tests","QuickTests","ListCountIsCorrect"
"","7","EmptyStringHasZeroLength","","Wed Feb 18 10:48:24 UTC 2026","passed","Wed Feb 18 10:48:24 UTC 2026","","Quick Tests","QuickTests","EmptyStringHasZeroLength"
"","0","StringReplaceWorks","","Wed Feb 18 10:48:24 UTC 2026","passed","Wed Feb 18 10:48:24 UTC 2026","","Mixed Results Tests","MixedResultsTests","StringReplaceWorks"
"","0","ModuloReturnsRemainder","","Wed Feb 18 10:48:24 UTC 2026","passed","Wed Feb 18 10:48:24 UTC 2026","","Quick Tests","QuickTests","ModuloReturnsRemainder"
"","18","StringLengthIsWrong","","Wed Feb 18 10:48:24 UTC 2026","failed","Wed Feb 18 10:48:24 UTC 2026","","Mixed Results Tests","MixedResultsTests","StringLengthIsWrong"
"","1","NotNullFails","","Wed Feb 18 10:48:24 UTC 2026","failed","Wed Feb 18 10:48:24 UTC 2026","","Failing Tests","FailingTests","NotNullFails"
"","1","StringStartsWith","","Wed Feb 18 10:48:24 UTC 2026","passed","Wed Feb 18 10:48:24 UTC 2026","","Quick Tests","QuickTests","StringStartsWith"
