"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","StringToUpperConvertsCorrectly","","Wed Feb 18 10:09:20 UTC 2026","passed","Wed Feb 18 10:09:20 UTC 2026","","Quick Tests","QuickTests","StringToUpperConvertsCorrectly"
"","12","AbsoluteValueOfNegative","","Wed Feb 18 10:09:20 UTC 2026","passed","Wed Feb 18 10:09:20 UTC 2026","","Quick Tests","QuickTests","AbsoluteValueOfNegative"
"","1","StringContainsSubstring","","Wed Feb 18 10:09:20 UTC 2026","passed","Wed Feb 18 10:09:20 UTC 2026","","Quick Tests","QuickTests","StringContainsSubstring"
"","0","ListCountIsCorrect","","Wed Feb 18 10:09:20 UTC 2026","passed","Wed Feb 18 10:09:20 UTC 2026","","Quick Tests","QuickTests","ListCountIsCorrect"
"Login with invalid credentials fails
","415","LoginFailure","","Wed Feb 18 10:09:21 UTC 2026","passed","Wed Feb 18 10:09:21 UTC 2026","","Login Test Suite","LoginTests","LoginFailure"
"","2","EmptyListIsEmpty","","Wed Feb 18 10:09:20 UTC 2026","passed","Wed Feb 18 10:09:20 UTC 2026","","Quick Tests","QuickTests","EmptyListIsEmpty"
"","0","DivisionIsCorrect","","Wed Feb 18 10:09:20 UTC 2026","passed","Wed Feb 18 10:09:20 UTC 2026","","Quick Tests","QuickTests","DivisionIsCorrect"
"","6","IntegerIsValueType","","Wed Feb 18 10:09:20 UTC 2026","passed","Wed Feb 18 10:09:20 UTC 2026","","Quick Tests","QuickTests","IntegerIsValueType"
"Verify the Swag Labs page title
","504","HasTitle","","Wed Feb 18 10:09:20 UTC 2026","passed","Wed Feb 18 10:09:21 UTC 2026","","Login Test Suite","LoginTests","HasTitle"
"Verify stored auth state allows direct access to inventory
","554","StoredStateAllowsDirectAccess","","Wed Feb 18 10:09:20 UTC 2026","passed","Wed Feb 18 10:09:21 UTC 2026","","State Storage Tests","StateStorageTests","StoredStateAllowsDirectAccess"
"","0","AdditionIsCorrect","","Wed Feb 18 10:09:20 UTC 2026","passed","Wed Feb 18 10:09:20 UTC 2026","","Quick Tests","QuickTests","AdditionIsCorrect"
"","4","EmptyStringHasZeroLength","","Wed Feb 18 10:09:20 UTC 2026","passed","Wed Feb 18 10:09:20 UTC 2026","","Quick Tests","QuickTests","EmptyStringHasZeroLength"
"","1","StringIsReferenceType","","Wed Feb 18 10:09:20 UTC 2026","passed","Wed Feb 18 10:09:20 UTC 2026","","Quick Tests","QuickTests","StringIsReferenceType"
"","4","ArrayIsSorted","","Wed Feb 18 10:09:20 UTC 2026","passed","Wed Feb 18 10:09:20 UTC 2026","","Quick Tests","QuickTests","ArrayIsSorted"
"","0","StringTrimRemovesWhitespace","","Wed Feb 18 10:09:20 UTC 2026","passed","Wed Feb 18 10:09:20 UTC 2026","","Quick Tests","QuickTests","StringTrimRemovesWhitespace"
"","0","MultiplicationIsCorrect","","Wed Feb 18 10:09:20 UTC 2026","passed","Wed Feb 18 10:09:20 UTC 2026","","Quick Tests","QuickTests","MultiplicationIsCorrect"
"","0","NotFalseIsTrue","","Wed Feb 18 10:09:20 UTC 2026","passed","Wed Feb 18 10:09:20 UTC 2026","","Quick Tests","QuickTests","NotFalseIsTrue"
"","0","TrueIsTrue","","Wed Feb 18 10:09:20 UTC 2026","passed","Wed Feb 18 10:09:20 UTC 2026","","Quick Tests","QuickTests","TrueIsTrue"
"","1","StringStartsWith","","Wed Feb 18 10:09:20 UTC 2026","passed","Wed Feb 18 10:09:20 UTC 2026","","Quick Tests","QuickTests","StringStartsWith"
"","2","DictionaryContainsKey","","Wed Feb 18 10:09:20 UTC 2026","passed","Wed Feb 18 10:09:20 UTC 2026","","Quick Tests","QuickTests","DictionaryContainsKey"
"Login with valid credentials succeeds
","388","LoginSuccess","","Wed Feb 18 10:09:21 UTC 2026","passed","Wed Feb 18 10:09:22 UTC 2026","","Login Test Suite","LoginTests","LoginSuccess"
"","1","ListContainsAddedItem","","Wed Feb 18 10:09:20 UTC 2026","passed","Wed Feb 18 10:09:20 UTC 2026","","Quick Tests","QuickTests","ListContainsAddedItem"
"","0","NullIsNull","","Wed Feb 18 10:09:20 UTC 2026","passed","Wed Feb 18 10:09:20 UTC 2026","","Quick Tests","QuickTests","NullIsNull"
"","0","ModuloReturnsRemainder","","Wed Feb 18 10:09:20 UTC 2026","passed","Wed Feb 18 10:09:20 UTC 2026","","Quick Tests","QuickTests","ModuloReturnsRemainder"
