"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","MathAssertionFails","","Wed Feb 18 10:30:51 UTC 2026","failed","Wed Feb 18 10:30:51 UTC 2026","","Failing Tests","FailingTests","MathAssertionFails"
"","1","NotNullFails","","Wed Feb 18 10:30:51 UTC 2026","failed","Wed Feb 18 10:30:51 UTC 2026","","Failing Tests","FailingTests","NotNullFails"
"","0","StringSplitWorks","","Wed Feb 18 10:30:51 UTC 2026","passed","Wed Feb 18 10:30:51 UTC 2026","","Mixed Results Tests","MixedResultsTests","StringSplitWorks"
"","3","DoubleToleranceFails","","Wed Feb 18 10:30:51 UTC 2026","failed","Wed Feb 18 10:30:51 UTC 2026","","Failing Tests","FailingTests","DoubleToleranceFails"
"","1","ListDoesNotContainExpectedItem","","Wed Feb 18 10:30:51 UTC 2026","failed","Wed Feb 18 10:30:51 UTC 2026","","Failing Tests","FailingTests","ListDoesNotContainExpectedItem"
"Login with valid credentials succeeds
","340","LoginSuccess","","Wed Feb 18 10:30:53 UTC 2026","passed","Wed Feb 18 10:30:53 UTC 2026","","Login Test Suite","LoginTests","LoginSuccess"
"","0","MultiplicationIsCorrect","","Wed Feb 18 10:30:51 UTC 2026","passed","Wed Feb 18 10:30:51 UTC 2026","","Quick Tests","QuickTests","MultiplicationIsCorrect"
"","0","TrueIsTrue","","Wed Feb 18 10:30:51 UTC 2026","passed","Wed Feb 18 10:30:51 UTC 2026","","Quick Tests","QuickTests","TrueIsTrue"
"","0","MaxReturnsLargest","","Wed Feb 18 10:30:51 UTC 2026","passed","Wed Feb 18 10:30:51 UTC 2026","","Mixed Results Tests","MixedResultsTests","MaxReturnsLargest"
"","0","StringIsReferenceType","","Wed Feb 18 10:30:51 UTC 2026","passed","Wed Feb 18 10:30:51 UTC 2026","","Quick Tests","QuickTests","StringIsReferenceType"
"","1","UnsortedArrayFailsOrderCheck","","Wed Feb 18 10:30:51 UTC 2026","failed","Wed Feb 18 10:30:51 UTC 2026","","Failing Tests","FailingTests","UnsortedArrayFailsOrderCheck"
"","4","ArrayIsSorted","","Wed Feb 18 10:30:51 UTC 2026","passed","Wed Feb 18 10:30:51 UTC 2026","","Quick Tests","QuickTests","ArrayIsSorted"
"","1","OrOperatorCheckFails","","Wed Feb 18 10:30:51 UTC 2026","failed","Wed Feb 18 10:30:51 UTC 2026","","Mixed Results Tests","MixedResultsTests","OrOperatorCheckFails"
"","0","WrongTypeFails","","Wed Feb 18 10:30:51 UTC 2026","failed","Wed Feb 18 10:30:51 UTC 2026","","Failing Tests","FailingTests","WrongTypeFails"
"","2","ListIsNotInExpectedOrder","","Wed Feb 18 10:30:51 UTC 2026","failed","Wed Feb 18 10:30:51 UTC 2026","","Mixed Results Tests","MixedResultsTests","ListIsNotInExpectedOrder"
"","1","StringIsNotInt","","Wed Feb 18 10:30:51 UTC 2026","failed","Wed Feb 18 10:30:51 UTC 2026","","Mixed Results Tests","MixedResultsTests","StringIsNotInt"
"","11","DatesAreNotEqual","","Wed Feb 18 10:30:51 UTC 2026","failed","Wed Feb 18 10:30:51 UTC 2026","","Mixed Results Tests","MixedResultsTests","DatesAreNotEqual"
"","0","DictionaryValueLookup","","Wed Feb 18 10:30:51 UTC 2026","passed","Wed Feb 18 10:30:51 UTC 2026","","Mixed Results Tests","MixedResultsTests","DictionaryValueLookup"
"","0","AdditionIsCorrect","","Wed Feb 18 10:30:51 UTC 2026","passed","Wed Feb 18 10:30:51 UTC 2026","","Quick Tests","QuickTests","AdditionIsCorrect"
"","1","GreaterThanFails","","Wed Feb 18 10:30:51 UTC 2026","failed","Wed Feb 18 10:30:51 UTC 2026","","Failing Tests","FailingTests","GreaterThanFails"
"","0","StringEqualityFails","","Wed Feb 18 10:30:51 UTC 2026","failed","Wed Feb 18 10:30:51 UTC 2026","","Failing Tests","FailingTests","StringEqualityFails"
"","1","WrongCountFails","","Wed Feb 18 10:30:51 UTC 2026","failed","Wed Feb 18 10:30:51 UTC 2026","","Failing Tests","FailingTests","WrongCountFails"
"","6","DictionaryContainsKey","","Wed Feb 18 10:30:51 UTC 2026","passed","Wed Feb 18 10:30:51 UTC 2026","","Quick Tests","QuickTests","DictionaryContainsKey"
